Label_Column,Accuracy,F1,Precision,Recall,Support
label_19,0.8804597701149425,0.42222222222222217,0.6909090909090909,0.304,125.0
label_12,0.8655172413793103,0.3314285714285714,0.58,0.232,125.0
label_18,0.864367816091954,0.41,0.5466666666666666,0.328,125.0
label_24,0.8781609195402299,0.4301075268817205,0.6557377049180327,0.32,125.0
label_3,0.8724137931034482,0.42487046632124353,0.6029411764705882,0.328,125.0
label_14,0.8666666666666667,0.3626373626373627,0.5789473684210527,0.264,125.0
label_10,0.8735632183908046,0.37500000000000006,0.6470588235294118,0.264,125.0
label_11,0.8770114942528736,0.45685279187817257,0.625,0.36,125.0
label_15,0.8735632183908046,0.3888888888888889,0.6363636363636364,0.28,125.0
label_8,0.8689655172413793,0.40625000000000006,0.582089552238806,0.312,125.0
label_1,0.8586206896551725,0.33513513513513515,0.5166666666666667,0.248,125.0
label_7,0.8620689655172413,0.34782608695652173,0.5423728813559322,0.256,125.0
label_5,0.8666666666666667,0.3829787234042553,0.5714285714285714,0.288,125.0
label_21,0.8563218390804598,0.365482233502538,0.5,0.288,125.0
label_9,0.8747126436781609,0.4043715846994535,0.6379310344827587,0.296,125.0
label_6,0.8724137931034482,0.3728813559322034,0.6346153846153846,0.264,125.0
label_13,0.8505747126436781,0.3981481481481481,0.4725274725274725,0.344,125.0
label_25,0.8747126436781609,0.4577114427860696,0.6052631578947368,0.368,125.0
label_17,0.8597701149425288,0.38999999999999996,0.52,0.312,125.0
label_16,0.8735632183908046,0.367816091954023,0.6530612244897959,0.256,125.0
label_23,0.8655172413793103,0.4120603015075377,0.5540540540540541,0.328,125.0
label_4,0.8666666666666667,0.42574257425742573,0.5584415584415584,0.344,125.0
label_22,0.8620689655172413,0.3814432989690722,0.5362318840579711,0.296,125.0
label_20,0.860919540229885,0.3664921465968587,0.5303030303030303,0.28,125.0
label_2,0.8781609195402299,0.4044943820224719,0.6792452830188679,0.288,125.0
