,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
N,36.0,34.0,47.0,29.0,22.0,30.0,37.0,32.0,23.0,21.0,33.0,23.0,19.0,29.0,23.0,30.0,33.0,29.0,45.0,32.0,43.0,36.0,39.0,28.0,28.0
V,22.0,29.0,25.0,26.0,12.0,15.0,39.0,20.0,19.0,26.0,23.0,18.0,16.0,23.0,24.0,19.0,23.0,21.0,23.0,25.0,37.0,25.0,35.0,29.0,34.0
AJ,22.0,26.0,20.0,17.0,6.0,30.0,20.0,17.0,7.0,6.0,28.0,20.0,11.0,29.0,25.0,13.0,16.0,25.0,19.0,27.0,14.0,23.0,32.0,36.0,30.0
AV,5.0,6.0,8.0,6.0,5.0,5.0,8.0,5.0,3.0,5.0,5.0,6.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,9.0,8.0,7.0
OR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PR,1.0,1.0,2.0,2.0,3.0,3.0,3.0,11.0,4.0,16.0,2.0,4.0,22.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0
CJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
