Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8501994017946162,0.15232722143864597,0.5,0.08985024958402663,601.0
label_2,0.8529411764705882,0.18055555555555555,0.5462184873949579,0.10815307820299501,601.0
label_3,0.8536889332003988,0.24258064516129033,0.5402298850574713,0.15640599001663893,601.0
label_4,0.8492023928215354,0.2312579415501906,0.489247311827957,0.15141430948419302,601.0
label_5,0.8526919242273181,0.17342657342657342,0.543859649122807,0.10316139767054909,601.0
label_6,0.8519441674975075,0.16101694915254236,0.5327102803738317,0.09484193011647254,601.0
label_7,0.8469591226321037,0.20052083333333331,0.46107784431137727,0.1281198003327787,601.0
label_8,0.853938185443669,0.23697916666666666,0.5449101796407185,0.15141430948419302,601.0
label_9,0.8519441674975075,0.1885245901639344,0.5267175572519084,0.11480865224625623,601.0
label_10,0.8544366899302094,0.2493573264781491,0.5480225988700564,0.16139767054908485,601.0
label_11,0.8497008973080757,0.20762155059132717,0.49375,0.1314475873544093,601.0
label_12,0.8477068793619142,0.16415868673050615,0.46153846153846156,0.09983361064891846,601.0
label_13,0.8549351944167497,0.22606382978723408,0.5629139072847682,0.14143094841930118,601.0
label_14,0.8501994017946162,0.19973368841544606,0.5,0.12479201331114809,601.0
label_15,0.8492023928215354,0.16781292984869325,0.48412698412698413,0.10149750415973377,601.0
label_16,0.8467098703888335,0.17227456258411847,0.4507042253521127,0.1064891846921797,601.0
label_17,0.8549351944167497,0.21774193548387097,0.5664335664335665,0.13477537437603992,601.0
label_18,0.8479561316051845,0.18449197860962568,0.46938775510204084,0.11480865224625623,601.0
label_19,0.8514456630109671,0.2455696202531646,0.5132275132275133,0.16139767054908485,601.0
label_20,0.8509471585244267,0.23333333333333336,0.5083798882681564,0.15141430948419302,601.0
label_21,0.8541874376869392,0.2604298356510746,0.5421052631578948,0.1713810316139767,601.0
label_22,0.8469591226321037,0.11527377521613832,0.43010752688172044,0.06655574043261231,601.0
label_23,0.8439680957128615,0.19121447028423774,0.4277456647398844,0.12312811980033278,601.0
label_24,0.8467098703888335,0.1981747066492829,0.4578313253012048,0.1264559068219634,601.0
label_25,0.8482053838484547,0.1955085865257596,0.47435897435897434,0.12312811980033278,601.0
